0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.451471,-2.802929,0.731032,0.100898,-0.103959,-0.734804,0.662628,-0.131803,-0.142129,0.374553,0.372939,-0.217556,-0.076577,-0.376059,-0.411403,-0.296118,0.900743,-0.629845,0.001664,-0.214604,0.649532,0.630616,1.312296,-0.352008,-1.555007,-0.186849
1.445833,-2.803587,0.73312,0.078614,-0.095198,-0.733889,0.667956,-0.12087,-0.089351,0.357801,0.395084,-0.223815,-0.083366,-0.316633,-0.356826,-0.337036,0.851712,-0.611716,-0.006968,-0.257269,0.707478,0.590947,1.336053,-0.190916,-1.406905,-0.337457
1.439543,-2.802995,0.735824,0.061005,-0.076864,-0.732588,0.673562,-0.134119,-0.026739,0.340748,0.421414,-0.230062,-0.091275,-0.274311,-0.287983,-0.376616,0.785653,-0.583546,-0.017156,-0.267532,0.718061,0.593651,1.307731,-0.058778,-1.255935,-0.463
1.43628,-2.801483,0.737352,0.057698,-0.059875,-0.732833,0.675309,-0.160584,0.00961,0.3354,0.434302,-0.230247,-0.095806,-0.273457,-0.246399,-0.391723,0.746552,-0.564331,-0.023165,-0.258863,0.697744,0.600017,1.227046,0.000172,-1.153261,-0.489967
1.431482,-2.800123,0.738378,0.050635,-0.042412,-0.734853,0.675002,-0.186313,0.056765,0.332149,0.459268,-0.236894,-0.103017,-0.26708,-0.194399,-0.402872,0.702734,-0.543191,-0.031585,-0.245409,0.697359,0.603639,1.142353,0.083611,-1.047918,-0.520118
1.427648,-2.799159,0.738969,0.048327,-0.026301,-0.736648,0.674035,-0.213582,0.093316,0.330353,0.477974,-0.241585,-0.108846,-0.270944,-0.154091,-0.408755,0.668973,-0.527044,-0.037881,-0.228906,0.694325,0.609954,1.027353,0.141758,-0.965973,-0.507229
1.423039,-2.798488,0.739009,0.044013,-0.011317,-0.739394,0.671737,-0.237982,0.133731,0.329579,0.50287,-0.249734,-0.115681,-0.271481,-0.111338,-0.411276,0.637122,-0.512375,-0.045115,-0.209546,0.700131,0.621215,0.90522,0.204943,-0.879802,-0.48085
1.418029,-2.798154,0.738507,0.038971,0.002268,-0.742764,0.668414,-0.260115,0.174957,0.329587,0.531784,-0.260098,-0.123026,-0.270601,-0.06938,-0.410611,0.608921,-0.500077,-0.052617,-0.189307,0.714876,0.637603,0.775706,0.259611,-0.799751,-0.428969
1.413252,-2.79762,0.737723,0.036544,0.015698,-0.745643,0.665158,-0.285858,0.212092,0.328818,0.559205,-0.268506,-0.130678,-0.275988,-0.032777,-0.409037,0.586327,-0.490522,-0.059709,-0.175441,0.725261,0.651982,0.651355,0.294054,-0.7387,-0.354219
1.408103,-2.796902,0.736359,0.032475,0.026963,-0.748484,0.661808,-0.309446,0.250065,0.326663,0.592033,-0.277852,-0.139113,-0.278464,0.002323,-0.406857,0.568894,-0.483576,-0.067407,-0.16182,0.736676,0.667441,0.527599,0.330528,-0.684506,-0.270148
1.402996,-2.796038,0.734606,0.02808,0.036338,-0.750942,0.658769,-0.332447,0.28611,0.322714,0.627387,-0.286292,-0.146933,-0.28036,0.033732,-0.404769,0.556909,-0.479251,-0.075067,-0.150475,0.743925,0.671216,0.420055,0.363551,-0.632848,-0.189167
1.398107,-2.794868,0.732632,0.024059,0.044205,-0.752673,0.656468,-0.357497,0.318983,0.314892,0.664944,-0.2908,-0.153413,-0.283154,0.060722,-0.403884,0.549874,-0.477249,-0.082533,-0.140453,0.747933,0.672811,0.334226,0.393139,-0.590031,-0.112349
1.393594,-2.793597,0.73055,0.020562,0.050826,-0.754006,0.654576,-0.385424,0.349094,0.305027,0.705682,-0.289989,-0.15739,-0.286606,0.08379,-0.403424,0.546188,-0.476885,-0.089575,-0.132385,0.747228,0.672776,0.267858,0.419689,-0.560636,-0.047081
1.389524,-2.792063,0.728294,0.017355,0.056007,-0.755218,0.652846,-0.414239,0.376246,0.295489,0.747762,-0.285775,-0.156969,-0.290891,0.102926,-0.402836,0.54676,-0.478355,-0.096382,-0.128953,0.741729,0.662944,0.221224,0.440327,-0.534546,0.005084
1.385643,-2.79099,0.726323,0.01692,0.060989,-0.756392,0.65105,-0.44507,0.398333,0.287591,0.785365,-0.275034,-0.151575,-0.298646,0.117812,-0.401291,0.548318,-0.481555,-0.10278,-0.129164,0.724323,0.645604,0.185953,0.449623,-0.506935,0.040689
1.382483,-2.788468,0.723589,0.013632,0.063441,-0.757272,0.649868,-0.477845,0.420471,0.27633,0.831904,-0.261505,-0.138804,-0.304906,0.12997,-0.401443,0.558206,-0.486717,-0.109579,-0.131186,0.722861,0.64216,0.163448,0.474244,-0.488169,0.058867
1.378756,-2.786925,0.720895,0.011652,0.066471,-0.757739,0.649058,-0.512975,0.441852,0.264795,0.876565,-0.242862,-0.12368,-0.31198,0.141866,-0.402267,0.567779,-0.493523,-0.116183,-0.13328,0.72064,0.656031,0.139921,0.492897,-0.481141,0.083829
1.37484,-2.785619,0.718207,0.010612,0.069465,-0.757959,0.648506,-0.552131,0.46292,0.25319,0.921294,-0.214559,-0.109456,-0.320154,0.152608,-0.403493,0.577503,-0.500921,-0.122759,-0.132857,0.720829,0.684918,0.113211,0.509816,-0.489173,0.117384
1.370735,-2.784766,0.715482,0.010337,0.072279,-0.758233,0.647883,-0.596825,0.48575,0.244415,0.969313,-0.172242,-0.094328,-0.328451,0.162285,-0.404326,0.587689,-0.509193,-0.12924,-0.13264,0.720978,0.726553,0.085445,0.525635,-0.510867,0.157479
